id,product_name,platform,country,price,displayed_review_count,rating,primary_material,primary_process,use_case,representative_voc,fdm_fit,source_url,checked_at
24,Under-desk single deck laptop mount,Etsy,US-market-view,$14.95,1300,unknown,plastic,FDM,store one laptop,heat and load creep require testing,medium,https://www.etsy.com/market/under_desk_cable_management,2026-07-17
25,SnapBridge magnetic cable arches,Etsy,US-market-view,$11.99,4,unknown,plastic+magnet,FDM+assembly,route under-desk cables,low evidence and magnet retention unknown,high,https://www.etsy.com/market/under_desk_cable_management,2026-07-17
26,Scrub Daddy sponge holder pad 3D printed,Etsy,US-market-view,$5.99,601,unknown,plastic,FDM,hold shaped sponge at sink,drainage and sponge-shape fit are likely purchase drivers,high,https://www.etsy.com/market/sponge_holders_for_sink,2026-07-17
27,Sponge Butler rapid-dry holder,Etsy,US-market-view,$8.79,4600,unknown,plastic,FDM/unknown,dry kitchen sponge,drainage and counter stability need direct VOC,high,https://www.etsy.com/market/sponge_holders_for_sink,2026-07-17
28,Cartoon sponge holder,Etsy,US-market-view,$8.41,14,unknown,plastic,FDM,hold sponge by sink,low demand evidence,high,https://www.etsy.com/market/sponge_holders_for_sink,2026-07-17
29,Tap-mount sink caddy,Etsy,US-market-view,$4.77,3,unknown,plastic,FDM,hold sponge and brush on faucet,faucet diameter compatibility is critical,high,https://www.etsy.com/market/sponge_holders_for_sink,2026-07-17
30,Self-draining soap and sponge tray,Etsy,US-market-view,$11.99,17,unknown,silicone,molding,drain soap or sponge,excluded from priority because silicone is core,low,https://www.etsy.com/market/sponge_holders_for_sink,2026-07-17
31,Magnetic dishcloth holder,Etsy,US-market-view,$39.50,604,unknown,steel+magnet,metal fabrication,hold cloth inside sink,metal fabrication is core,low,https://www.etsy.com/market/sponge_holders_for_sink,2026-07-17
32,Stone sponge holder,Etsy,US-market-view,$29.50,1300,unknown,stone,stone fabrication,hold sponge,material value not reproducible by FDM,low,https://www.etsy.com/market/sponge_holders_for_sink,2026-07-17
33,Ceramic belly sponge holder,Etsy,US-market-view,$29.75,2700,unknown,ceramic,ceramic forming,hold sponge,ceramic finish is core,low,https://www.etsy.com/market/sponge_holders_for_sink,2026-07-17
34,Sponge holder for sink,Etsy,US-market-view,$5.00,41,unknown,plastic,FDM/unknown,hold sink sponge,no direct VOC,high,https://www.etsy.com/market/sponge_holders_for_sink,2026-07-17
35,Suction sponge holder,Etsy,US-market-view,$9.14,1300,unknown,plastic+suction,molded+assembly,hold sponge in shower or sink,suction retention under moisture requires validation,medium,https://www.etsy.com/market/razor_holder_for_shower,2026-07-17
36,Wall mounted gravity broom holder PETG,Etsy,US-market-view,$8.92,6,5.0,PETG,FDM,hold broom and tool handles,metal handles can slip; limited to 21-28 mm; technique learning noted,high,https://www.etsy.com/listing/1441815907/wall-mounted-gravity-broom-holder-petg,2026-07-17
37,Wall mounted trio gravity broom holder,Etsy,US-market-view,$21.25,3400,unknown,PETG,FDM,hold three long-handled tools,fit and grip evidence aggregated at category level,high,https://www.etsy.com/market/broom_holder,2026-07-17
38,Gravity broom holder custom engraved,Etsy,US-market-view,$8.00,714,unknown,plastic,FDM,hold broom with personalization,diameter and surface grip are likely fit boundaries,high,https://www.etsy.com/market/broom_holder,2026-07-17
39,Gravity broom holder basic,Etsy,US-market-view,$6.99,994,unknown,plastic,FDM,hold broom handle,direct VOC unavailable,high,https://www.etsy.com/market/broom_holder,2026-07-17
40,3D printed mop mount,Etsy,US-market-view,$9.00,4,unknown,plastic,FDM,hold mop on wall,low evidence,high,https://www.etsy.com/market/broom_holder,2026-07-17
41,Wall Control gravity broom holder,Etsy,US-market-view,$12.00,121,unknown,plastic,FDM,pegboard broom storage,board compatibility and handle grip matter,high,https://www.etsy.com/market/broom_holder,2026-07-17
42,Utility hook rack broom hanger,Etsy,US-market-view,$30.00,7100,unknown,metal,metal fabrication,hang brooms and tools,metal rack is core,low,https://www.etsy.com/market/broom_holder,2026-07-17
43,Stainless 4-rack 5-hook broom holder,Etsy,US-market-view,$32.00,91,unknown,stainless steel,metal fabrication,store cleaning tools,metal core and high load,low,https://www.etsy.com/market/broom_holder,2026-07-17
44,Vivitar six-pack cable organizer clip,Target,US,$3.00,120,1.7,plastic+adhesive,injection,stop charging cables falling behind furniture,very low rating provides strong unresolved-problem signal but review text needs coding,high,https://www.target.com/p/-/A-94444719,2026-07-17
45,Monoprice under-desk cable tray,Target,US,$28.16,14,3.79,steel,metal fabrication,hold cables and power strips under desk,some users report it is too small or unsuitable for their setup,low,https://www.target.com/p/-/A-78120522,2026-07-17
46,3D printed remote control holder,Etsy,US-market-view,$8.10,1100,unknown,plastic,FDM,store multiple remotes,remote size and slot count drive fit,high,https://www.etsy.com/market/3d_printed_remote_holder,2026-07-17
47,Remote Control Holder finned organizer,Etsy,UK-market-view,£17.95,198,unknown,plastic,FDM,store TV remotes,buyer praises perfect two-section size; slot count matters,high,https://www.etsy.com/uk/market/remote_control_holder,2026-07-17
48,Wall mount Mitsubishi AC remote holder,Etsy,US-market-view,$17.35,73,unknown,plastic,FDM,store AC remote,model-specific fit and mounting choice matter,high,https://www.etsy.com/market/remote_control_holders_organizers,2026-07-17
49,Fanimation remote wall mount 3D printed,Etsy,US-market-view,$16.99,133,unknown,plastic,FDM,store fan remote without damage,device-specific fit risk,high,https://www.etsy.com/market/remote_control_holders_organizers,2026-07-17
50,Wallmote Samsung Solar Remote holder,Etsy,UK-market-view,£15.95,134,unknown,plastic,FDM,wall-mount Samsung remote,model revision compatibility,high,https://www.etsy.com/uk/market/remote_control_holder,2026-07-17
51,3D printed rope style remote holder,Etsy,US-market-view,$8.99,88,unknown,plastic,FDM,store tall and short remotes,slot sizing and stability unknown,high,https://www.etsy.com/market/decorative_remote_control_holder,2026-07-17
52,5-slot felt-lined 3D remote holder,Etsy,US-market-view,$44.61,88,unknown,plastic+felt,FDM+assembly,protect and organize remotes,premium price but low item evidence,high,https://www.etsy.com/market/control_holder,2026-07-17
53,Mini remote control holder wall mount,Etsy,UK-market-view,£5.99,69,unknown,plastic,FDM,wall storage for remote,adhesive/screw choice unknown,high,https://www.etsy.com/uk/market/remote_control_holder,2026-07-17
54,Remote Daddy oversized remote shell,Etsy,US-market-view,$29.45,275,unknown,plastic,FDM,prevent small remote loss,size bulk is intentional but compatibility narrow,high,https://www.etsy.com/market/3d_printed_remote_holder,2026-07-17
55,3-slot wall mount remote holder,Etsy,US-market-view,$8.00,32,unknown,plastic,FDM,store three remotes on wall,low review evidence,high,https://www.etsy.com/market/3d_printed_remote_holder,2026-07-17
56,Caraway magnetic 3D printed lid organizer,Etsy,US-market-view,$39.19,97,unknown,plastic+magnet,FDM+assembly,store Caraway pot lids,adhesive hooks on original system reported sliding after about 10 months,high,https://www.etsy.com/market/lid_organizers,2026-07-17
57,Individual cabinet pot lid holders,Etsy,US-market-view,$7.00,8500,unknown,plastic,FDM,hang pot lid inside cabinet,lid-handle and door-clearance compatibility likely core,high,https://www.etsy.com/market/pot_lids_organizer,2026-07-17
58,Pot lid holders 10 pack,Etsy,US-market-view,$14.95,363,unknown,plastic,FDM/unknown,store multiple pot lids,adhesive and lid-size range not verified,high,https://www.etsy.com/market/pot_lids_organizer,2026-07-17
59,Cabinet door lid organizer,Etsy,US-market-view,$9.99,38,unknown,plastic,FDM,store lid on cabinet door,door closure clearance is critical,high,https://www.etsy.com/market/pot_lids_organizer,2026-07-17
60,Pot lid stand mini drying rack,Etsy,UK-market-view,£16.98,60,unknown,plastic/metal,FDM/unknown,hold lids plates and dry items,footprint and stability evidence needed,high,https://www.etsy.com/uk/market/pot_lid_organizer,2026-07-17
61,SKADIS curved hooks 8 pack,Etsy,US-market-view,$3.99,950,unknown,plastic,FDM,hang tools on pegboard,official SKADIS hooks can be loose and rotate during removal,high,https://www.etsy.com/market/pegboard_accessories,2026-07-17
62,SKADIS headphone holder,Etsy,US-market-view,$7.19,1900,unknown,plastic,FDM,store headphones on pegboard,headband width and peg fit matter,high,https://www.etsy.com/market/pegboard_accessories,2026-07-17
63,SKADIS scissor organizer,Etsy,US-market-view,$21.43,1100,unknown,plastic,FDM,store scissors on pegboard,tool geometry varies,high,https://www.etsy.com/market/pegboard_accessories,2026-07-17
64,Pegboard tech accessory set,Etsy,Hong Kong,NZ$7.32 shipping,32,5.0,PLA,FDM,mount keyboard tablet mouse and headphones,1/4-inch boards are not standardized; thickness choices required,high,https://www.etsy.com/listing/4422165735/pegboard-accessories-for-desk-setup,2026-07-17
65,SKADIS straight hook,Etsy,US-market-view,$1.99,423,unknown,plastic,FDM,hang light items on pegboard,paint and print tolerance affect fit,high,https://www.etsy.com/market/pegboard_accessories,2026-07-17
66,Minimalist razor holder,Etsy,US-market-view,$6.00,8600,unknown,plastic,FDM,keep razor off counter,users value compact storage; handle fit requires validation,high,https://www.etsy.com/market/3d_printed_razor_holder,2026-07-17
67,3D printed razor holder,Etsy,US-market-view,$5.00,960,unknown,plastic,FDM,store razor in bathroom,humidity and exact handle fit are core,high,https://www.etsy.com/market/3d_printed_razor_holder,2026-07-17
68,Glass shower door razor holder,Etsy,US-market-view,$7.99,910,unknown,plastic,FDM,hang razor over shower glass,a buyer reported a similar holder did not fit glass thickness,high,https://www.etsy.com/market/razor_holder_for_shower,2026-07-17
69,Universal razor holder with 3M tape,Etsy,US-market-view,$3.99,146,unknown,plastic+adhesive,FDM,wall-mount razor,adhesion and razor fit need direct testing,high,https://www.etsy.com/market/razor_holder,2026-07-17
70,Wall mounted safety razor holder with blade storage,Etsy,US-market-view,$10.47,430,unknown,plastic,FDM,store razor and spare blades,blade safety and fit boundaries matter,high,https://www.etsy.com/market/razor_holder_for_shower,2026-07-17
71,Self-draining razor and soap tray,Etsy,US-market-view,$21.75,251,unknown,plastic,FDM,drain razor and soap,wet-area drainage and cleaning are core,high,https://www.etsy.com/market/razor_holder_shower,2026-07-17
72,Shower glass hook 19 colours,Etsy,US-market-view,$8.49,308,unknown,plastic,FDM,hang razor towel or squeegee,glass thickness fit is explicit product variable,high,https://www.etsy.com/market/shower_razor_holder,2026-07-17
73,Manscaped Lawn Mower wall mount,Etsy,US-market-view,$8.99,2100,unknown,plastic,FDM,store electric shaver without electronics,model-specific fit and moisture clearance matter,high,https://www.etsy.com/market/shower_razor_holder,2026-07-17
74,Razor and toothbrush shower caddy 3D printed,Etsy,US-market-view,$15.00,30,unknown,plastic,FDM,store grooming tools,cleaning access and broad fit unknown,high,https://www.etsy.com/market/razor_holder_shower,2026-07-17
75,Triple shower screen razor holder,Etsy,US-market-view,$10.81,199,unknown,plastic,FDM,hold three razors on glass,only 6-7 mm glass compatibility stated,high,https://www.etsy.com/market/razor_holder_for_shower,2026-07-17
76,Car headrest hook 4 pack,Etsy,US-market-view,$7.99,659,unknown,plastic,injection/FDM,hang masks groceries bags and purses,headrest post diameter and bag swing need validation,high,https://www.etsy.com/market/car_seat_headrest_hook,2026-07-17
77,Leather stainless headrest hook,Etsy,US-market-view,$5.69,3500,unknown,steel+leather,metal fabrication,hang purse behind seat,metal core reduces FDM opportunity,low,https://www.etsy.com/market/car_seat_headrest_hook,2026-07-17
78,2-in-1 phone holder and bag hanger,Etsy,US-market-view,$6.74,6,unknown,plastic,injection/FDM,hold phone and bag on headrest,low evidence and moving-vehicle usability risk,medium,https://www.etsy.com/market/car_seat_headrest_hook,2026-07-17
79,Suede double headrest hook,Etsy,US-market-view,$9.00,8,unknown,metal+suede,metal fabrication,hang bags behind seat,material-led value,low,https://www.etsy.com/market/car_seat_headrest_hook,2026-07-17
80,Headrest bag hook truck,Etsy,US-market-view,$24.00,34,unknown,plastic/FDM,FDM/unknown,hold bag in vehicle,temperature and fatigue need testing,high,https://www.etsy.com/market/car_seat_headrest_hook,2026-07-17
81,Mercedes headrest hook,Etsy,US-market-view,$25.23,25,unknown,plastic/metal,FDM/unknown,vehicle-specific bag hook,model-specific premium fit opportunity,high,https://www.etsy.com/market/car_seat_headrest_hook,2026-07-17
82,Headrest hat holder magnetic clip,Etsy,US-market-view,$16.55,1,unknown,leather+magnet,assembly,store hat in car,low evidence and non-FDM material value,low,https://www.etsy.com/market/car_seat_headrest_hook,2026-07-17
83,SEAMETAL 20kg dual headrest hook,Etsy,Canada-market-view,$9.99,29,unknown,metal+suede,metal fabrication,heavy bag hanger,high-load and metal core excluded,low,https://www.etsy.com/ca/market/car_headrest_hooks,2026-07-17
84,3D PLA safety razor display stand,eBay,US,$14.99,unknown,unknown,PLA,FDM,store safety razor on counter,no item-review evidence; seller has high account feedback but that is not product demand,high,https://www.ebay.com/itm/327019419905,2026-07-17
85,Headrest hanger heavy duty,Etsy,US-market-view,$7.64,895,unknown,plastic,FDM/unknown,hang coat purse or bag,heavy-duty claim requires load evidence,medium,https://www.etsy.com/market/headrest_hooks_for_car,2026-07-17
86,Personalized dog butt leash holder,Etsy,US-market-view,$19.50,657,unknown,wood/plastic,laser/FDM,hang leash and collar,personalization drives purchase more than structure,high,https://www.etsy.com/market/pet_leash_holder,2026-07-17
87,Custom shiplap dog leash holder,Etsy,US-market-view,$38.40,4500,unknown,wood+hook,woodworking,store pet leash,wood decor is core,medium,https://www.etsy.com/market/pet_leash_holder,2026-07-17
88,Custom dog paw leash hook,Etsy,US-market-view,$7.50,1200,unknown,wood/metal,laser+assembly,hang leash and collar,custom name and hook size are purchase drivers,medium,https://www.etsy.com/market/pet_leash_holder,2026-07-17
89,Personalized dog name leash holder,Etsy,US-market-view,$45.00,3400,unknown,wood+metal,woodworking,entryway leash storage,shipping and personalization lead time VOC not quantified,medium,https://www.etsy.com/market/pet_leash_holder,2026-07-17
90,Dog tail wall hook 19 colors,Etsy,US-market-view,$15.99,18500,unknown,cast iron,casting,hang leash and keys,metal casting is core,low,https://www.etsy.com/market/dog_leash_and_key_holder,2026-07-17
91,Personalized metal leash rack,Etsy,US-market-view,$20.21,1500,unknown,metal,metal fabrication,hang leashes and keys,metal core,low,https://www.etsy.com/market/dog_leash_and_key_holder,2026-07-17
92,Personalized shiplap dog key rack,Etsy,US-market-view,$36.55,2200,unknown,wood+metal,woodworking,store leash keys and collars,decor and name customization dominate,medium,https://www.etsy.com/market/dog_leashes_holder,2026-07-17
93,No-drill wall mop and broom clip,Temu,global-market-view,$4.33,716,4.6,plastic+adhesive,injection,store long-handled cleaning tools,high review count but detailed negative VOC unavailable,high,https://www.temu.com/ph/1pc-mop-holder-mop-hook-mop-clip-wall-mounted-mop-and-broom-storage-clip-mop-hanging-rack-multifunctional-tools-storage-clip-for-bathroom-kitchen-garden-cleaning-accessories-household-gadgets-g-601099530994345.html,2026-07-17
94,Redbean lever-type vent mount cable clip hook,Coupang,Korea,unknown,unknown,unknown,steel+plastic,metal+injection,replace or secure car vent phone-mount interface,price review count and repeated VOC unavailable,medium,https://www.coupang.com/vp/products/6930283140,2026-07-17
95,12mm cable cover and protection clip,HomeDecorer,Korea,KRW900,2,unknown,plastic,extrusion+clip,collect and protect exposed cables,user says scattered cables were gathered; sample is only two reviews,medium,https://homedecorer.co.kr/product/%EC%A0%84%EC%84%A0%EC%A0%95%EB%A6%AC-%EC%84%A0%EC%A0%95%EB%A6%AC-%EC%BB%B4%ED%93%A8%ED%84%B0-%EC%84%A0-%EC%A0%95%EB%A6%AC-%EC%BC%80%EC%9D%B4%EB%B8%94-%EC%BB%A4%EB%B2%84-%EB%B0%B0%EC%84%A0-%EC%A0%84%EA%B8%B0-%EA%B3%A0%EC%96%91%EC%9D%B4-%EB%B3%B4%ED%98%B8-%ED%81%B4%EB%A6%BD-12mm-x-1m/142/,2026-07-17
96,SKADIS photo clips set of 4,Etsy,US-market-view,$6.64,1100,unknown,plastic,FDM,display photos on pegboard,clip fatigue and board fit matter,high,https://www.etsy.com/market/pegboard_accessories,2026-07-17
97,SKADIS crate organizer bin,Etsy,US-market-view,$16.99,158,unknown,plastic,FDM,store small pegboard items,hook fit and bin load are core,high,https://www.etsy.com/market/pegboard_accessories,2026-07-17
98,SKADIS display case mount,Etsy,US-market-view,$4.99,117,unknown,plastic,FDM,mount display case to pegboard,case and board compatibility matter,high,https://www.etsy.com/market/pegboard_accessories,2026-07-17
99,Adjustable phone stand six angles,Etsy,Sweden,$11.05,unknown,unknown,plastic,FDM,hold phone on desk,angle detent durability and phone thickness unknown,high,https://www.etsy.com/shop/UP3DLab,2026-07-17
100,Self adhesive push-grip towel holder,Etsy,Sweden,$7.62,unknown,unknown,plastic+adhesive,FDM,hold dishcloth or towel,grip range and wet adhesive durability unknown,high,https://www.etsy.com/shop/UP3DLab,2026-07-17
